# time x1 y1 z1 vx1 vy1 vz1 x2 y2 z2 vx2 vy2 vz2 x3 y3 z3 vx3 vy3 vz3 placehold
1.000000e+06 -1.635380e+09 6.504841e+08 0.000000e+00 1.268737e+04 3.352869e+04 0.000000e+00 2.624310e+11 9.615130e+09 0.000000e+00 -4.075059e+02 9.610154e+03 0.000000e+00 2.338148e+09 -8.271775e+08 0.000000e+00 -1.569174e+04 -4.278496e+04 0.000000e+00 0.000000e+00
2.000000e+06 -9.689864e+08 1.227635e+09 0.000000e+00 2.381124e+04 2.709298e+04 0.000000e+00 2.618197e+11 1.921531e+10 0.000000e+00 -8.153194e+02 9.587706e+03 0.000000e+00 2.240312e+09 -1.542354e+09 0.000000e+00 -2.938753e+04 -3.454314e+04 0.000000e+00 0.000000e+00
3.000000e+06 9.495501e+07 1.668388e+09 0.000000e+00 3.200426e+04 1.726942e+04 0.000000e+00 2.608002e+11 2.878550e+10 0.000000e+00 -1.223747e+03 9.550116e+03 0.000000e+00 2.137508e+09 -2.046504e+09 0.000000e+00 -3.934179e+04 -2.195861e+04 0.000000e+00 0.000000e+00
4.000000e+06 1.492573e+09 1.928940e+09 0.000000e+00 3.626675e+04 5.292798e+03 0.000000e+00 2.593719e+11 3.831041e+10 0.000000e+00 -1.633090e+03 9.497117e+03 0.000000e+00 2.112201e+09 -2.264923e+09 0.000000e+00 -4.427822e+04 -6.607071e+03 0.000000e+00 0.000000e+00
5.000000e+06 3.146043e+09 1.991332e+09 0.000000e+00 3.609205e+04 -7.330973e+03 0.000000e+00 2.575336e+11 4.777447e+10 0.000000e+00 -2.043645e+03 9.428327e+03 0.000000e+00 2.265033e+09 -2.155495e+09 0.000000e+00 -4.354977e+04 9.589897e+03 0.000000e+00 0.000000e+00
6.000000e+06 4.973415e+09 1.866827e+09 0.000000e+00 3.153003e+04 -1.901369e+04 0.000000e+00 2.552841e+11 5.716164e+10 0.000000e+00 -2.455698e+03 9.343242e+03 0.000000e+00 2.702268e+09 -1.712855e+09 0.000000e+00 -3.721976e+04 2.460581e+04 0.000000e+00 0.000000e+00
7.000000e+06 6.898980e+09 1.595652e+09 0.000000e+00 2.318092e+04 -2.828393e+04 0.000000e+00 2.526216e+11 6.645531e+10 0.000000e+00 -2.869520e+03 9.241232e+03 0.000000e+00 3.522551e+09 -9.679111e+08 0.000000e+00 -2.605393e+04 3.656343e+04 0.000000e+00 0.000000e+00
8.000000e+06 8.862862e+09 1.243151e+09 0.000000e+00 1.212009e+04 -3.397160e+04 0.000000e+00 2.495444e+11 7.563820e+10 0.000000e+00 -3.285363e+03 9.121523e+03 0.000000e+00 4.804636e+09 1.723577e+07 0.000000e+00 -1.142453e+04 4.397024e+04 0.000000e+00 0.000000e+00
9.000000e+06 1.082865e+10 8.928413e+08 0.000000e+00 -2.367899e+02 -3.535468e+04 0.000000e+00 2.460501e+11 8.469215e+10 0.000000e+00 -3.703452e+03 8.983191e+03 0.000000e+00 6.597624e+09 1.158328e+09 0.000000e+00 4.861852e+03 4.590584e+04 0.000000e+00 0.000000e+00
1.000000e+07 1.278810e+10 6.372605e+08 0.000000e+00 -1.231135e+04 -3.224977e+04 0.000000e+00 2.421366e+11 9.359801e+10 0.000000e+00 -4.123979e+03 8.825138e+03 0.000000e+00 8.914934e+09 2.360844e+09 0.000000e+00 2.079089e+04 4.213750e+04 0.000000e+00 0.000000e+00
